id_namespace	local_id	project_id_namespace	project_local_id	persistent_id	creation_time	assay_type	anatomy
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843679	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843680	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843681	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843682	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843683	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843684	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843685	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843686	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843687	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843688	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843689	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843690	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843691	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843692	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843693	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843694	https://www.ncbi.nlm.nih.gov/bioproject/	PRJNA417316		2017-11-06	OBI:0002571	UBERON:0003881
