biosample_id_namespace	biosample_local_id	gene
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843679	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843680	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843681	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843682	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843683	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843684	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843685	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843686	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843687	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843688	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843689	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843690	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843691	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843692	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843693	ENSG00000102081
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=	GSM2843694	ENSG00000102081
