"Tube","Mouse","Genotype","APA","Punch","Slice","Date","storagebox","atlaslocation","notes","sliceforRNAseq","isbest","idealRNAseqID","RNAseqID"
"BAJ","16-122B","WT","Yoked","CA1",3,"6/13/16","1 - BAA - BCT",74,"",3,TRUE,"16_122B_3","16-122B"
"BCJ","16-122D","WT","Yoked","CA1",2,"6/20/16","1 - BAA - BCT",74,"",2,TRUE,"16_122D_2","16-122D"
"BEU","16-116B","FMR1","Yoked","CA1",2,"6/24/16","2 - BCU - BGC",74,"",2,TRUE,"16_116B_2","16-116B"
"BFX","16-126B","WT","Yoked","CA1",3,"6/27/16","2 - BCU - BGC",74,"",3,TRUE,"16_126B_3","16-126B"
"BHV","16-116D","FMR1","Yoked","CA1",3,"6/29/16","3 - BGD - BJO",74,"has two CA1 punches, one on cell layer and 1 above",3,TRUE,"16_116D_3","16-116D"
"BIO","16-123B","WT","Yoked","CA1",2,"7/1/16","3 - BGD - BJO",74,"",2,TRUE,"16_123B_2","16-123B"
"BWY","16-124D","WT","Yoked","CA1",1,"7/13/16","7 - BUK -  BYT",74,"",1,TRUE,"16_124D_1","16-124D"
"BZE","16-119B","FMR1","Yoked","CA1",3,"7/14/16","8 - BYY - ",NA,"only three photos, guessing that slice 3 is either 76 or 74",3,TRUE,"16_119B_3","16-119B"
"CBZ","16-119D","FMR1","Yoked","CA1",3,"7/15/16","8 - BZV - ",74,"",3,TRUE,"16_119D_3","16-119D"
"CDE","16-120B","FMR1","Yoked","CA1",2,"7/18/16","9 - ??",74,"",2,TRUE,"16_120B_2","16-120B"
"CFR","16-120D","FMR1","Yoked","CA1",3,"7/19/16","9 - ??",74,"",3,TRUE,"16_120D_3","16-120D"
"CPI","16-125B","WT","Yoked","CA1",2,"7/20/16","10 - COT - ",74,"",2,TRUE,"16_125B_2","16-125B"
"CIG","16-125D","WT","Yoked","CA1",2,"7/22/16","10 - COT - ",74,"",2,TRUE,"16_125D_2","16-125D"
"BLN","16-123D","WT","Yoked","CA1",1,"7/3/16","4 - BJP - BNB",74,"",1,TRUE,"16_123D_1","16-123D"
"BOJ","16-117D","FMR1","Yoked","CA1",2,"7/5/16","5 - BNG -  BQE",74,"",2,TRUE,"16_117D_2","16-117D"
"BRE","16-118B","FMR1","Yoked","CA1",1,"7/7/16","6 - BQF - BUJ",74,"",1,TRUE,"16_118B_1","16-118B"
"BSU","16-118D","FMR1","Yoked","CA1",3,"7/8/16","6 - BQF - BUJ",74,"",3,TRUE,"16_118D_3","16-118D"
