trimmedreads	pseudoaligned	length
3465927	2700786	236.71
4114235	3203138	237.21
3326252	2191650	230.46
3682043	2593884	229.72
3533873	2082927	236.31
4210239	2903342	230.91
4529846	2595924	237.37
3711950	2778423	232.75
3531226	2619819	232.58
3155845	2054499	231.08
3315421	2194603	224.37
3718823	2551688	231.79
4127848	2869792	225.29
2821442	846950	227.06
4667492	485979	227.94
3572635	1438049	224.12
3821831	256779	223.89
