"","Genotype","APA2","TrainSessionComboNum","conflict","m","se","len","measure"
"20","WT","yoked-conflict",2,"conflict",0.483333333333333,0.167066187815222,3,"Path to the 1st Entrance"
"21","WT","yoked-conflict",3,"conflict",0.35,0.098657657246325,3,"Path to the 1st Entrance"
"22","WT","yoked-conflict",4,"conflict",1.33,1.2059988944163,3,"Path to the 1st Entrance"
"23","WT","yoked-conflict",5,"conflict",1.31333333333333,1.04141463617737,3,"Path to the 1st Entrance"
"24","WT","yoked-conflict",6,"conflict",0.06,0.0346410161513775,3,"Path to the 1st Entrance"
"25","WT","yoked-conflict",7,"conflict",0,0,2,"Path to the 1st Entrance"
"26","WT","yoked-conflict",8,"conflict",0.186666666666667,0.186666666666667,3,"Path to the 1st Entrance"
"27","WT","yoked-conflict",9,"conflict",0.31,0.23895606290697,3,"Path to the 1st Entrance"
"28","WT","conflict",1,"conflict",0.48,0.167190842386112,9,"Path to the 1st Entrance"
"29","WT","conflict",2,"conflict",0.516666666666667,0.137264950612553,9,"Path to the 1st Entrance"
"30","WT","conflict",3,"conflict",1.86111111111111,0.984587398700091,9,"Path to the 1st Entrance"
"31","WT","conflict",4,"conflict",0.91,0.164578586429435,9,"Path to the 1st Entrance"
"32","WT","conflict",5,"conflict",4.08,1.31710119412122,9,"Path to the 1st Entrance"
"33","WT","conflict",6,"conflict",0.455555555555556,0.261895394252866,9,"Path to the 1st Entrance"
"34","WT","conflict",7,"conflict",1.46222222222222,0.636190436587142,9,"Path to the 1st Entrance"
"35","WT","conflict",8,"conflict",5.28,1.96892031891141,9,"Path to the 1st Entrance"
"36","WT","conflict",9,"conflict",3.27,1.36496133441371,9,"Path to the 1st Entrance"
"37","FMR1KO","yoked-consistent",1,"consistent",0.3025,0.153968340901628,4,"Path to the 1st Entrance"
"38","FMR1KO","yoked-consistent",2,"consistent",0.606666666666667,0.144260566722549,3,"Path to the 1st Entrance"
"39","FMR1KO","yoked-consistent",3,"consistent",5.724,2.62981101982633,5,"Path to the 1st Entrance"
"40","FMR1KO","yoked-consistent",4,"consistent",1.15666666666667,0.491675141169903,3,"Path to the 1st Entrance"
