"","16-116B","16-117D","16-118B","16-118D","16-119B","16-119D","16-120B","16-120D","16-122B","16-122D","16-123D","16-124D","16-125D","16-126B"
"1110004F10Rik",8.48624778458977,8.4778012502857,8.44832447905455,8.72373116775574,8.78830852645595,8.37717621790563,8.6185643350546,8.66532075175933,8.57313302061168,8.57219753287499,8.36727849986695,8.71429027901504,8.3906890439229,8.68461322880626
"1110008F13Rik",8.02421614705968,7.968521461746,8.09437450648611,8.2483633845191,8.24574673266246,7.97246617957585,8.05274051683253,7.91091479430155,8.39188346257224,8.30488569476561,8.08707266769674,8.11061186710053,8.13652773898513,8.36693425309356
"1110008L16Rik",7.47878510818635,7.58071008155386,7.53748727710981,7.57630234283319,7.55141136617274,7.54516427583065,7.43987236171332,7.69119106108791,7.50420330896997,7.44682125218329,7.59012593547032,7.59197864734594,7.52042862046355,7.58081341483365
"1110008P14Rik",7.99638071382625,8.15610780365182,8.30185718171196,8.2799363653431,8.22393212445482,7.81908865794486,8.04641839671764,7.9770572249625,8.2973626482121,8.25479162674919,7.96471872702372,8.23882019169265,8.0183400732128,8.18943299698277
"1110012L19Rik",7.36823285503107,7.2609135000678,7.52276081014399,7.60886057627815,7.48698705399159,7.54516427583065,7.39989579562218,7.54823333587959,7.54808527068634,7.39596755525698,7.43708398613138,7.30751190000743,7.59675747404488,7.47654719769874
"1110017D15Rik",7.10002704064862,7.10002704064862,7.26029517690277,7.10002704064862,7.10002704064862,7.10002704064862,7.3268810007868,7.10002704064862,7.21246386038792,7.35643104264416,7.10002704064862,7.10002704064862,7.33085972258021,7.21384508154889
"1110032A03Rik",7.52319006028375,7.63090337115041,7.67437876442524,7.66819461676925,7.6925556813331,7.71596891044298,7.68598251007417,7.69119106108791,7.99908071545915,7.78100117133519,7.47665538726427,7.65888236868525,7.66248376381678,7.70859293767471
"1110032F04Rik",7.76558974273883,7.91013044443376,7.79231768481239,7.73425138929811,7.73583001625538,7.64414112674178,7.80215836107676,7.7313883942662,7.89316384145877,7.85446119393425,7.92482042260055,7.79246188065335,7.81125662613804,7.84684008920493
"1110034G24Rik",7.60001117300501,7.37840292964196,7.57887762833173,7.32128530229611,7.56608932122181,7.30672704565672,7.47554846907961,7.39001942030442,7.43665868495001,7.47686820398312,7.56065263842138,7.4780847374248,7.47630998134662,7.47654719769874
"1110037F02Rik",8.36150400844772,8.44484612403534,8.2528815969276,8.34600612537634,8.28276410594746,8.51084444988791,8.3034502296221,8.35284774227723,8.37454739941944,8.41281276302331,8.39180684189189,8.49829828761728,8.34740212901967,8.31603374558328
"1110038F14Rik",7.89568171109641,7.71870894704469,7.89948932702542,7.6955476556669,7.82323847050758,7.68122495630913,7.74685568900041,7.75674073855913,7.64769769643966,7.71544031280481,7.72709028491692,7.59197864734594,7.72098751294231,7.89495661831251
"1110051M20Rik",8.46930711070978,8.46145138212002,8.44417807249276,8.64287424576813,8.50958252804396,8.54914963444694,8.63268304932116,8.66977426506252,8.5249211298967,8.49036258823289,8.31112885912326,8.2445038442118,8.47777376189415,8.60796024328174
"1110059E24Rik",7.6963630604977,7.55345003115811,7.45766534847145,7.75871647951064,7.7036825507933,7.68122495630913,7.43987236171332,7.78108840673837,7.56176006992948,7.54297467574335,7.60419373188708,7.65888236868525,7.45213148563627,7.65434784959817
"1110059G10Rik",7.6341556851126,7.60645425786612,7.43939893334315,7.72163398175857,7.55141136617274,7.43708838940814,7.65288705375354,7.61688638550334,7.77787440280489,7.66093004953287,7.47665538726427,7.57742475814307,7.70691983987235,7.74855720091226
"1110065P20Rik",8.11896956455669,7.79494091102308,7.87618684463896,8.26111706491647,8.39080798294613,7.88267266690374,8.10760770684831,7.80453593684494,8.2734680196688,8.07568413785921,8.17001004696,8.04942499842327,7.74815307379793,8.05519961086209
"1190002N15Rik",9.0810177287998,8.76248262900612,8.71186866322088,8.73192337132372,8.8972820439109,8.97754612142605,8.96098587244614,8.93173978181236,8.72248980430764,8.63357442507031,8.82617097830631,8.84518958053762,8.60392630119748,8.6469308997761
"1190005I06Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.28074258433469,7.43029609246629,7.36672398618745,7.35359236064467,7.10002704064862,7.10002704064862,7.33414201067535,7.33863266797079,7.43836460307981,7.61401277243525,7.400694949154
"1190007I07Rik",7.54368657153079,7.65422906890901,7.45766534847145,7.10002704064862,7.59409520410328,7.26884494287119,7.66414574649597,7.46647357923051,7.45477905263761,7.57815543492181,7.39209223544678,7.39320316877115,7.54079339501006,7.49318881204974
"1300017J02Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.30672704565672,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1500009C09Rik",8.13513039152897,8.34846641238064,7.95114476585132,8.31651951191742,8.4046878977234,8.07359503166617,8.00743078568306,8.13317781673253,8.29263026868802,8.19738945486132,8.18810612488739,8.23882019169265,8.06246585461549,8.19483604403744
"1500009L16Rik",7.47878510818635,7.32743726433593,7.26029517690277,7.38548436707947,7.46907883392929,7.43708838940814,7.49214646934343,7.58382435883052,7.61270583691737,7.63146746022321,7.33863266797079,7.61981992092474,7.49899505092052,7.71884115412227
"1500011B03Rik",8.28954158500065,8.18920731346122,8.37104707130702,8.38589110294913,8.59754623454266,8.27912346998226,8.28899762509953,8.52282951896417,8.42570633359527,8.51722300244922,8.23470074893218,8.36181464233123,7.99067066186162,8.61155905627516
"1500011K16Rik",7.85120636471818,7.58071008155386,7.64063379733682,7.73425138929811,7.99219808440382,7.82854215100879,7.64138267219189,7.64787797180212,7.90817890177937,7.81874661174279,7.73801366147438,7.54684401934188,7.91169599433886,7.90266955092774
"1500015O10Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.3268810007868,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1520401A03Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.21943335629514,7.26051955410886,7.10002704064862,7.37509276592788,7.28145119228746,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1600002H07Rik",7.45444920785166,7.52438177849456,7.67437876442524,7.55912479340981,7.43029609246629,7.51237572208462,7.26051955410886,7.58382435883052,7.39705730129459,7.41385089401477,7.33863266797079,7.51393348102726,7.47630998134662,7.56738629169121
"1600002K03Rik",7.10002704064862,7.49310405491879,7.10002704064862,7.10002704064862,7.30255029384311,7.21943335629514,7.52334904049831,7.32480510022515,7.37509276592788,7.10002704064862,7.2688427299826,7.39320316877115,7.33085972258021,7.42137187229743
"1600012H06Rik",7.86259131722206,7.65422906890901,8.01938827133779,7.52260740949492,7.7036825507933,7.85613549936091,7.65288705375354,7.70490462891696,7.73118144047027,7.80391012767301,7.57562585984785,7.53071249581236,7.81125662613804,7.74855720091226
"1600014C10Rik",8.01504392080757,7.82987574006498,7.78331657455544,7.8887095633818,7.94004988301058,7.76965680720949,7.82812386047982,7.83820698727472,7.90071011066803,7.99340315703161,8.07358271917468,7.86793633516478,8.02735639933413,8.08618972109668
"1700001C19Rik",7.10002704064862,7.10002704064862,7.43939893334315,7.41262834153335,7.26543178697366,7.30672704565672,7.10002704064862,7.35949116970925,7.10002704064862,7.24819174357296,7.21943179020887,7.30751190000743,7.28856804299087,7.26094836943922
"1700001K19Rik",7.36823285503107,7.60645425786612,7.10002704064862,7.52260740949492,7.38620398330365,7.47666030197681,7.3268810007868,7.41759134325431,7.41748601841522,7.30947169382061,7.2688427299826,7.56239587388009,7.49899505092052,7.400694949154
"1700001L19Rik",7.50161754668462,7.60645425786612,7.47502587074869,7.60886057627815,7.50408432070171,7.72709838688076,7.50805403323468,7.74419747984138,7.56176006992948,7.49100870730674,7.8285327887359,7.68340601638028,7.54079339501006,7.50913811202043
"1700001O22Rik",7.80366051072358,7.69803076796009,7.67437876442524,7.62435296835416,7.80482003735387,7.66914570740301,7.59255793148566,7.71829690734722,7.82134860306117,7.68885090631855,7.60419373188708,7.60609856568967,7.54079339501006,7.8871605345896
"1700001P01Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.25899652582281,7.24819174357296,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700003E16Rik",8.28273226927944,7.968521461746,8.006201072913,7.99001616210079,8.14928112505147,7.85613549936091,7.69658554523982,7.84906690294135,7.75028835106901,7.85446119393425,7.73801366147438,7.83125539721681,7.89058010617977,8.06773221379465
"1700003F12Rik",7.10002704064862,7.52438177849456,7.21338284729887,7.10002704064862,7.21701786864841,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700006E09Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.26543178697366,7.10002704064862,7.26051955410886,7.10002704064862,7.10002704064862,7.10002704064862,7.33863266797079,7.10002704064862,7.10002704064862,7.26094836943922
"1700007B14Rik",7.33238350298076,7.10002704064862,7.29626424990556,7.10002704064862,7.10002704064862,7.36672398618745,7.10002704064862,7.10002704064862,7.10002704064862,7.20481831745087,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700007G11Rik",7.10002704064862,7.2609135000678,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.26051955410886,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700008O03Rik",7.47878510818635,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.30672704565672,7.10002704064862,7.10002704064862,7.10002704064862,7.20481831745087,7.10002704064862,7.10002704064862,7.10002704064862,7.21384508154889
"1700010I14Rik",7.10002704064862,7.52438177849456,7.39947763280393,7.28074258433469,7.21701786864841,7.21943335629514,7.39989579562218,7.28361934174667,7.54808527068634,7.28145119228746,7.21943179020887,7.49642470647553,7.39781977965702,7.26094836943922
"1700011E24Rik",7.28981353680072,7.10002704064862,7.10002704064862,7.22785396999922,7.30255029384311,7.30672704565672,7.35359236064467,7.10002704064862,7.29467494664535,7.10002704064862,7.10002704064862,7.10002704064862,7.23339306294794,7.21384508154889
"1700011M02Rik",7.28981353680072,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.33085972258021,7.10002704064862
"1700012L04Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.3268810007868,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700013F07Rik",7.10002704064862,7.37840292964196,7.21338284729887,7.10002704064862,7.26543178697366,7.10002704064862,7.10002704064862,7.10002704064862,7.35118974618706,7.10002704064862,7.21943179020887,7.10002704064862,7.36647522313722,7.21384508154889
"1700014D04Rik",7.10002704064862,7.32743726433593,7.10002704064862,7.22785396999922,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.29467494664535,7.10002704064862,7.10002704064862,7.26948632277505,7.10002704064862,7.10002704064862
"1700015E13Rik",7.428275490094,7.37840292964196,7.21338284729887,7.32128530229611,7.26543178697366,7.21943335629514,7.35359236064467,7.10002704064862,7.25899652582281,7.28145119228746,7.43708398613138,7.33954128945174,7.10002704064862,7.21384508154889
"1700016C15Rik",7.10002704064862,7.2609135000678,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.36672049623145,7.10002704064862,7.10002704064862,7.10002704064862
"1700016D06Rik",7.36823285503107,7.37840292964196,7.61685419850237,7.38548436707947,7.36134080879668,7.43708838940814,7.37772269733582,7.56638023472784,7.32473039965414,7.30947169382061,7.47665538726427,7.45878606227314,7.56023137315912,7.29706362655115
"1700016K19Rik",7.10002704064862,7.10002704064862,7.26029517690277,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.29467494664535,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700017B05Rik",8.00576654442514,7.55345003115811,7.50748677081771,7.85847520851313,7.66961325453985,7.66914570740301,7.59255793148566,7.66270531357672,7.69099690996523,7.55501415555522,7.76964817403145,7.68340601638028,7.61401277243525,7.70859293767471
"1700019A02Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.26543178697366,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.24819174357296,7.10002704064862,7.26948632277505,7.10002704064862,7.10002704064862
"1700019D03Rik",7.47878510818635,7.45903949292327,7.35323840666608,7.54125574462323,7.26543178697366,7.45743358016286,7.43987236171332,7.10002704064862,7.10002704064862,7.50464374742906,7.33863266797079,7.59197864734594,7.36647522313722,7.66563555039211
"1700020A23Rik",7.10002704064862,7.2609135000678,7.10002704064862,7.22785396999922,7.21701786864841,7.26884494287119,7.29653884316416,7.10002704064862,7.10002704064862,7.10002704064862,7.2688427299826,7.10002704064862,7.10002704064862,7.21384508154889
"1700020D05Rik",7.10002704064862,7.2609135000678,7.39947763280393,7.10002704064862,7.26543178697366,7.10002704064862,7.10002704064862,7.28361934174667,7.21246386038792,7.10002704064862,7.2688427299826,7.26948632277505,7.36647522313722,7.21384508154889
"1700020L24Rik",7.10002704064862,7.45903949292327,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.21354162837782,7.10002704064862,7.21246386038792,7.20481831745087,7.10002704064862,7.21988726958263,7.10002704064862,7.10002704064862
"1700021F05Rik",7.45444920785166,7.49310405491879,7.64063379733682,7.8049371492072,7.65776930524271,7.43708838940814,7.76583720655027,7.52929446324023,7.75962083876817,7.75723363579336,7.52908690387331,7.4780847374248,7.72098751294231,7.53925841225817
"1700022I11Rik",7.33238350298076,7.10002704064862,7.21338284729887,7.28074258433469,7.36134080879668,7.26884494287119,7.3268810007868,7.10002704064862,7.10002704064862,7.24819174357296,7.10002704064862,7.21988726958263,7.36647522313722,7.10002704064862
"1700023F06Rik",7.61737715831411,7.55345003115811,7.10002704064862,7.32128530229611,7.50408432070171,7.39209605525857,7.26051955410886,7.28361934174667,7.48844402809106,7.30947169382061,7.30672433774387,7.45878606227314,7.39781977965702,7.26094836943922
"1700024P16Rik",7.52319006028375,7.58071008155386,7.10002704064862,7.10002704064862,7.43029609246629,7.26884494287119,7.26051955410886,7.39001942030442,7.25899652582281,7.28145119228746,7.51237034733373,7.10002704064862,7.10002704064862,7.26094836943922
"1700025G04Rik",8.5619781752964,8.34846641238064,8.62368926699784,8.63845668755938,8.44082009527549,8.4252115245056,8.46244393542782,8.44399733967498,8.34797803879683,8.5434361064003,8.64907986709611,8.4849692213713,8.52145937368618,8.4821287255813
"1700028J19Rik",7.28981353680072,7.10002704064862,7.37733525732744,7.10002704064862,7.46907883392929,7.10002704064862,7.35359236064467,7.39001942030442,7.32473039965414,7.37691449416983,7.30672433774387,7.3677354993418,7.28856804299087,7.42137187229743
"1700028K03Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.35359236064467,7.10002704064862,7.21246386038792,7.20481831745087,7.10002704064862,7.26948632277505,7.10002704064862,7.21384508154889
"1700028P14Rik",7.10002704064862,7.10002704064862,7.21338284729887,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.26094836943922
"1700029F12Rik",7.10002704064862,7.10002704064862,7.26029517690277,7.10002704064862,7.10002704064862,7.33863579213739,7.29653884316416,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.26094836943922
"1700029I15Rik",7.33238350298076,7.32743726433593,7.56550362491548,7.10002704064862,7.38620398330365,7.47666030197681,7.26051955410886,7.46647357923051,7.32473039965414,7.10002704064862,7.49492685724282,7.30751190000743,7.52042862046355,7.42137187229743
"1700029J07Rik",7.36823285503107,7.10002704064862,7.39947763280393,7.10002704064862,7.43029609246629,7.10002704064862,7.42051819659729,7.10002704064862,7.41748601841522,7.37691449416983,7.2688427299826,7.3677354993418,7.36647522313722,7.44077712800954
"1700030J22Rik",7.58199414589449,7.52438177849456,7.78331657455544,7.48251212601347,7.62054152043006,7.63117588945975,7.57954260887937,7.79291887233601,7.47200097894772,7.66093004953287,7.5451584801589,7.45878606227314,7.67769630269305,7.63101726602209
"1700030K09Rik",7.61737715831411,7.55345003115811,7.60452558897725,7.55912479340981,7.82323847050758,7.56065863249852,7.3268810007868,7.7313883942662,7.75962083876817,7.69785300417604,7.59012593547032,7.6712826109504,7.5788555228918,7.52447318709857
"1700034I23Rik",7.23427470519433,7.10002704064862,7.39947763280393,7.10002704064862,7.10002704064862,7.10002704064862,7.29653884316416,7.10002704064862,7.29467494664535,7.39596755525698,7.2688427299826,7.10002704064862,7.10002704064862,7.29706362655115
"1700034J05Rik",7.428275490094,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.29467494664535,7.10002704064862,7.10002704064862,7.3677354993418,7.10002704064862,7.21384508154889
"1700037C18Rik",7.10002704064862,7.10002704064862,7.64063379733682,7.22785396999922,7.36134080879668,7.36672398618745,7.35359236064467,7.35949116970925,7.39705730129459,7.44682125218329,7.2688427299826,7.21988726958263,7.10002704064862,7.400694949154
"1700037H04Rik",7.83963036826471,8.07372577478343,8.09437450648611,8.07977780350441,8.13114591824764,8.05988696749444,7.88511124108532,8.00375935198926,7.99908071545915,8.15068200944873,7.98011539052096,8.01339695439226,7.96199968107917,8.1619292894077
"1700040L02Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.21354162837782,7.10002704064862,7.25899652582281,7.33414201067535,7.10002704064862,7.26948632277505,7.10002704064862,7.10002704064862
"1700047I17Rik2",7.61737715831411,7.79494091102308,7.65212264273564,7.65398464799255,7.73583001625538,7.80949880462311,7.43987236171332,7.61688638550334,7.72139338409716,7.72403730257765,7.43708398613138,7.33954128945174,7.69249829314995,7.87130872928962
"1700048O20Rik",7.50161754668462,7.42130245593611,7.10002704064862,7.52260740949492,7.48698705399159,7.43708838940814,7.10002704064862,7.22989016909171,7.41748601841522,7.47686820398312,7.2688427299826,7.30751190000743,7.39781977965702,7.45911698373634
"1700057G04Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.21943335629514,7.35359236064467,7.10002704064862,7.10002704064862,7.10002704064862,7.21943179020887,7.10002704064862,7.10002704064862,7.10002704064862
"1700061G19Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.26543178697366,7.33863579213739,7.39989579562218,7.10002704064862,7.32473039965414,7.10002704064862,7.41540415663434,7.10002704064862,7.10002704064862,7.10002704064862
"1700066B19Rik",7.33238350298076,7.10002704064862,7.10002704064862,7.10002704064862,7.26543178697366,7.26884494287119,7.10002704064862,7.10002704064862,7.21246386038792,7.43075434525191,7.21943179020887,7.10002704064862,7.10002704064862,7.21384508154889
"1700066M21Rik",8.22645488787144,8.10998719541272,8.07011504477928,7.94563986706965,8.04788254437209,8.03177775586315,7.8109274081196,7.83820698727472,7.99908071545915,7.96399818331971,7.85612579792694,7.77215880083005,8.00922244661698,7.98950889203592
"1700067K01Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.32128530229611,7.33381691826501,7.26884494287119,7.10002704064862,7.28361934174667,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700067P10Rik",7.10002704064862,7.37840292964196,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.20481831745087,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700086D15Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.25899652582281,7.20481831745087,7.21943179020887,7.39320316877115,7.10002704064862,7.10002704064862
"1700088E04Rik",7.28981353680072,7.10002704064862,7.55171976633471,7.22785396999922,7.48698705399159,7.26884494287119,7.35359236064467,7.52929446324023,7.21246386038792,7.49100870730674,7.2688427299826,7.3677354993418,7.54079339501006,7.35426880845953
"1700093K21Rik",7.10002704064862,7.10002704064862,7.29626424990556,7.28074258433469,7.33381691826501,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.24819174357296,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700102P08Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.22989016909171,7.29467494664535,7.28145119228746,7.10002704064862,7.10002704064862,7.28856804299087,7.26094836943922
"1700109H08Rik",7.36823285503107,7.2609135000678,7.49160104768684,7.22785396999922,7.36134080879668,7.21943335629514,7.26051955410886,7.35949116970925,7.10002704064862,7.41385089401477,7.36672049623145,7.26948632277505,7.47630998134662,7.21384508154889
"1700112E06Rik",7.10002704064862,7.32743726433593,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.21246386038792,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700123K08Rik",7.10002704064862,7.10002704064862,7.32656417154425,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1700123L14Rik",7.23427470519433,7.10002704064862,7.32656417154425,7.10002704064862,7.10002704064862,7.10002704064862,7.3268810007868,7.10002704064862,7.10002704064862,7.30947169382061,7.10002704064862,7.10002704064862,7.45213148563627,7.21384508154889
"1700123O20Rik",7.6341556851126,7.49310405491879,7.65212264273564,7.78224709273964,7.74616896667061,7.57563204533959,7.59255793148566,7.67713324284186,7.66977992357161,7.69785300417604,7.57562585984785,7.68340601638028,7.5788555228918,7.59386257555678
"1700125H20Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.21701786864841,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.41660308163611,7.10002704064862,7.10002704064862
"1700128F08Rik",7.83963036826471,7.71870894704469,7.97915606021987,7.72163398175857,7.7663345898512,8.08708513826094,8.02063472932016,7.9207266517651,7.81288225615046,7.77317849819243,7.87392754248927,8.00599612254866,8.02735639933413,7.80399995746864
"1810009A15Rik",7.23427470519433,7.32743726433593,7.7163643798257,7.41262834153335,7.65776930524271,7.39209605525857,7.43987236171332,7.52929446324023,7.43665868495001,7.56673321482859,7.10002704064862,7.54684401934188,7.49899505092052,7.69815868248776
"1810010H24Rik",7.47878510818635,7.32743726433593,7.37733525732744,7.43756555975893,7.38620398330365,7.33863579213739,7.45816400567646,7.67713324284186,7.10002704064862,7.33414201067535,7.43708398613138,7.21988726958263,7.45213148563627,7.29706362655115
"1810013L24Rik",8.51934987096094,8.60042885092874,8.4565688449404,8.68613581362898,8.4319033243781,8.49777060007114,8.47869934444367,8.3164505120897,8.49025262231505,8.42734345011354,8.67180815024686,8.54158073577041,8.7571223860608,8.38482676782505
"1810022K09Rik",7.52319006028375,7.75800523192263,7.67437876442524,7.43756555975893,7.50408432070171,7.59013230601911,7.65288705375354,7.4429209371312,7.75962083876817,7.54297467574335,7.66913833417354,7.68340601638028,7.49899505092052,7.61894037203515
"1810024B03Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.26051955410886,7.22989016909171,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862
"1810026J23Rik",8.62793636541048,8.60765999809027,8.73129644063903,8.7278344444404,8.77849046162702,8.71236533891447,8.64662825239982,8.52282951896417,8.52870579474985,8.57219753287499,8.39180684189189,8.33634680987955,8.34740212901967,8.6293829525116
"1810030O07Rik",8.1895015567012,8.08598376721574,7.95114476585132,8.11017638802175,7.96283046643327,7.94902041125953,8.0897071070002,8.0709426082851,8.09252662876271,7.96996830228141,8.01003501463171,8.2941980460369,8.07101738730653,7.99632348098269
"1810032O08Rik",7.10002704064862,7.52438177849456,7.42007150328589,7.35543088193608,7.38620398330365,7.26884494287119,7.55234766137643,7.58382435883052,7.43665868495001,7.46216300416017,7.21943179020887,7.49642470647553,7.36647522313722,7.49318881204974
