"","16-116B","16-117D","16-118B","16-118D","16-119B","16-119D","16-120B","16-120D","16-122B","16-122D","16-123D","16-124D","16-125D","16-126B"
"0610007P14Rik",7.91692695752536,8.06128810720373,7.67437876442524,7.90817879502185,7.91656165932555,7.82854215100879,7.72726086431233,7.89088777401856,7.93732073510821,7.96399818331971,7.88266264085394,7.84061104967186,7.82316889431538,7.87130872928962
"0610009B22Rik",7.6963630604977,7.73867887826064,7.47502587074869,7.70873876938279,7.60749771417848,7.56065863249852,7.56615035652757,7.32480510022515,7.88553784486879,7.67970122631888,7.61786452073113,7.69526953502759,7.52042862046355,7.63101726602209
"0610009L18Rik",7.39978277872297,7.10002704064862,7.26029517690277,7.50307155413099,7.26543178697366,7.21943335629514,7.29653884316416,7.10002704064862,7.41748601841522,7.35643104264416,7.36672049623145,7.30751190000743,7.10002704064862,7.58081341483365
"0610009O20Rik",7.93757871430327,8.03584455603185,8.12953281923438,7.77059233388253,8.00648237144104,8.01004657608846,8.1702928330723,8.3226095313541,8.01863705550584,8.07044523535108,8.02458655248245,7.84984003927868,8.12060599785428,8.16749687049314
"0610010F05Rik",8.14310159715631,8.41082856854779,8.34850929391702,8.20904135062137,8.14928112505147,8.2516101467601,8.21330108742295,8.25921012751452,8.25391901092128,8.21542789699795,8.25159578878742,8.2557705218476,8.18266055988686,8.07392935384249
"0610010K14Rik",7.80366051072358,7.60645425786612,7.52276081014399,7.5928607679252,7.71459660711778,7.63117588945975,7.67517320499032,7.39001942030442,7.57502841406989,7.69785300417604,7.57562585984785,7.77215880083005,7.61401277243525,7.81279110154242
"0610012G03Rik",7.79122051353015,7.86308578297782,7.97224744430127,8.01548914908642,8.14928112505147,8.00267118832736,8.03362766698897,8.13317781673253,8.12151566531767,8.08089094369168,7.79975795047556,8.22156168563152,8.12060599785428,8.24210371400985
"0610030E20Rik",7.92732419210346,8.13334739961746,7.96527704762329,7.74660730160395,7.72530902232421,7.64414112674178,7.87724904689459,7.93997079755431,7.72139338409716,7.84746646449485,7.73801366147438,7.74040957326455,7.91169599433886,7.63101726602209
"0610037L13Rik",8.10250553505275,8.18920731346122,8.02590229704961,8.13229819390266,8.01353019842858,8.0388949616713,8.19204767305688,8.0709426082851,8.08065322183375,8.10646111552501,8.17608197152814,7.96792316678399,7.98122976288102,8.12777914932223
"0610040J01Rik",7.10002704064862,7.10002704064862,7.10002704064862,7.10002704064862,7.38620398330365,7.33863579213739,7.21354162837782,7.10002704064862,7.43665868495001,7.28145119228746,7.36672049623145,7.33954128945174,7.23339306294794,7.29706362655115
"1110002E22Rik",7.36823285503107,7.32743726433593,7.21338284729887,7.54125574462323,7.10002704064862,7.33863579213739,7.26051955410886,7.22989016909171,7.35118974618706,7.33414201067535,7.21943179020887,7.30751190000743,7.28856804299087,7.26094836943922
"1110004E09Rik",7.89568171109641,7.65422906890901,7.9294428047556,7.84810000170676,7.98495854458443,7.89982974645503,8.00743078568306,7.96795131769801,7.95147814926245,7.91447743750264,7.90824798047926,7.81214395869738,8.04509685657503,8.12777914932223
