"","pvalgenotypeFMR1WT","padjgenotypeFMR1WT","log2FoldChange","rownames"
"Dct",0.957451272352051,0.999781696584314,0.0235361447178669,"Dct"
"Dctd",0.244422386612239,0.903801983848786,-0.133685570193282,"Dctd"
"Dctn1",0.897122093301024,0.999781696584314,-0.00725443903772359,"Dctn1"
"Dctn2",0.29340691438554,0.93556623346707,0.0965226204023724,"Dctn2"
"Dctn3",0.931474697308097,0.999781696584314,0.00785567179726001,"Dctn3"
"Dctn4",0.498376643965529,0.999781696584314,0.033260460445432,"Dctn4"
"Dctn5",0.610096732331975,0.999781696584314,0.0373243241003558,"Dctn5"
"Dctn6",0.608430883689379,0.999781696584314,-0.0465597020086175,"Dctn6"
"Dctpp1",0.691507480918073,0.999781696584314,-0.0445189466613392,"Dctpp1"
"Dcun1d1",0.52779086145113,0.999781696584314,-0.0412046767129237,"Dcun1d1"
"Dcun1d2",0.573930727326438,0.999781696584314,-0.0723450621309276,"Dcun1d2"
"Dcun1d3",0.790698046221925,0.999781696584314,-0.0339487030633888,"Dcun1d3"
"Dcun1d4",0.125356602637652,0.771786282366661,-0.120711932727839,"Dcun1d4"
"Dcun1d5",0.974349538652127,0.999781696584314,0.00272152333418367,"Dcun1d5"
"Dcx",0.544266805921866,0.999781696584314,-0.110195909267484,"Dcx"
"Dcxr",0.401752488344246,0.979657518735847,0.149412562276995,"Dcxr"
"Dda1",0.77439351588833,0.999781696584314,0.0229156733208876,"Dda1"
"Ddah1",0.165525077192678,0.83501849388148,0.10648448151264,"Ddah1"
"Ddah2",0.0598710420474623,0.577796135713518,0.261969235120498,"Ddah2"
"Ddb1",0.251676457728036,0.905354962550064,0.0716174643362348,"Ddb1"
"Ddb2",0.207347866574215,0.869986277998457,0.116998723242598,"Ddb2"
"Ddc",0.260257331472027,0.913071115532072,0.22440806080359,"Ddc"
"Ddhd1",0.364546285731512,0.969601239689391,-0.0791575779704489,"Ddhd1"
"Ddhd2",0.239489583403629,0.898107299143506,0.0640285148841636,"Ddhd2"
"Ddi2",0.153213281490837,0.814545564519609,-0.25868984949997,"Ddi2"
"Ddit3",0.316231091448545,0.95020542738225,-0.0952110270364736,"Ddit3"
"Ddit4",0.306993908575287,0.945902483051811,-0.0880644542785269,"Ddit4"
"Ddit4l",0.0312731897046497,0.436581785160769,0.241246004880277,"Ddit4l"
"Ddn",0.218715643687436,0.883671959334347,-0.121308853477538,"Ddn"
