Gene	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
Vamp2|22318	57897	60998	44757	44743	73301	53436	65110	45615	53989	38515	42794	48912
Vamp3|22319	2561	2307	2871	3205	2374	2804	2081	2560	3462	2647	2038	1813
Vamp4|53330	5730	5750	5002	5705	7118	5750	6093	4716	6382	5054	4478	5117
Vamp5|53620	143	81	117	88	116	71	98	71	150	56	53	62
Vamp7|20955	0	0	0	0	0	0	0	0	0	0	0	0
Vamp8|22320	2650	1447	1249	1656	1883	1514	1311	862	1664	1298	1073	1052
Vangl1|229658	324	248	318	314	191	218	221	246	401	320	259	206
Vangl2|93840	195	186	172	272	184	127	169	182	279	149	164	115
Vapa|30960	6480	6157	4626	5175	7008	5569	6710	4361	5431	4035	4178	5054
Vapb|56491	8288	8112	6157	6714	10044	7258	8388	5896	7339	5679	5827	6289
Vars2|68915	1044	831	784	686	1298	901	804	667	747	667	805	602
Vars|22321	1796	1783	1408	1413	2321	1437	1924	1472	1699	1129	1582	1345
Vash1|238328	8693	9760	12758	12108	9301	10665	9121	10818	14157	10188	9213	7274
Vash2|226841	107	130	237	142	61	129	109	130	131	128	144	89
Vasn|246154	873	490	388	582	679	468	463	341	396	400	397	233
Vasp|22323	498	396	468	502	537	424	483	364	466	419	399	354
Vat1l|270097	8552	4154	4372	7615	8314	4893	4046	3262	5150	5180	4003	3545
Vat1|26949	1417	1299	1197	1555	1806	1101	954	1102	1309	1242	1083	834
Vaultrc5|378472	0	0	0	0	0	0	0	0	0	0	0	0
Vav1|22324	130	132	88	79	74	136	99	102	157	103	92	75
Vav2|22325	307	235	211	254	209	174	203	215	296	253	242	222
Vav3|57257	414	454	577	460	391	387	531	434	521	403	337	336
Vax1|22326	16	19	8	14	25	12	7	11	7	37	30	13
Vax2os|574519	0	4	0	2	0	0	2	0	0	0	2	2
Vax2|24113	3	1	0	0	0	1	0	0	1	2	0	1
Vbp1|22327	2622	2288	2018	2289	2750	2177	2538	1973	2384	1903	1711	2018
Vcam1|22329	4851	2327	2337	3764	4162	2478	2508	1898	2414	2458	1800	1941
Vcan|13003	272	236	382	367	378	270	240	313	266	315	240	195
Vcl|22330	1933	1451	1984	2201	2294	1827	2006	1848	1950	1803	1619	1295
Vcpip1|70675	2744	2463	2165	2404	3994	2450	3102	2281	2807	2288	2422	2208
Vcpkmt|207965	253	304	223	258	165	172	270	199	195	173	146	223
Vcp|269523	36574	33932	24062	28207	44674	29607	33769	24208	27488	23395	24209	25178
Vdac1|22333	33914	34783	25288	28554	41990	31562	36948	25649	29919	23672	24745	27397
