"gene","logP"
"1700022I11Rik",NA
"1700023E05Rik",-0.049462686609209
"1700023F02Rik",-0.000218327247344918
"1700023F06Rik",-0.309099775688694
"1700023L04Rik",-0.049462686609209
"1700024F13Rik",-0.000218327247344918
"1700024G13Rik",-0.000218327247344918
"1700024P16Rik",-0.107645560111902
"1700025G04Rik",-0.22888127575789
"1700025N23Rik",-0.000218327247344918
"1700026D08Rik",-0.0740319013229573
"1700026F02Rik",-0.000218327247344918
"1700026L06Rik",-0.312119708712856
"1700027H10Rik",-0.000218327247344918
"1700028B04Rik",-0.0999737918834638
"1700028E10Rik",-0.000218327247344918
"1700028I16Rik",NA
"1700028J19Rik",-0.000218327247344918
"1700028K03Rik",-0.000218327247344918
"1700028P14Rik",-0.000218327247344918
"1700029H14Rik",-0.172590334063808
"1700029I15Rik",-0.000218327247344918
"1700029J07Rik",-0.10866437226863
"1700029M20Rik",-24.0312502884433
"1700029P11Rik",-22.3586490699497
"1700030A11Rik",-22.4211373797493
"1700030C10Rik",-0.0416318249168334
"1700030F04Rik",-0.000218327247344918
"1700030F18Rik",NA
"1700030J22Rik",-0.517579402223252
"1700030K09Rik",-0.000218327247344918
"1700030L20Rik",-0.000218327247344918
"1700030M09Rik",-0.000218327247344918
"1700034E13Rik",NA
"1700034F02Rik",-0.000218327247344918
"1700034G24Rik",-0.000218327247344918
"1700034H15Rik",-0.0205522390743346
"1700034I23Rik",-0.000218327247344918
"1700034J05Rik",NA
"1700034P13Rik",-0.000218327247344918
"1700037C18Rik",-0.000218327247344918
"1700037H04Rik",-0.000218327247344918
"1700039E22Rik",NA
"1700040L02Rik",-0.000218327247344918
"1700042O10Rik",NA
"1700047A11Rik",NA
"1700047E10Rik",-0.000218327247344918
"1700047M11Rik",-0.000218327247344918
"1700048O20Rik",-0.000218327247344918
"1700049G17Rik",-0.238961246805448
"1700051A21Rik",-0.000218327247344918
"1700052K11Rik",-0.000218327247344918
"1700052N19Rik",-0.000218327247344918
"1700054M17Rik",-0.000218327247344918
"1700056E22Rik",-0.000218327247344918
"1700057G04Rik",NA
"1700057H15Rik",-0.797216981647226
"1700061G19Rik",-0.000218327247344918
"1700061I17Rik",-0.860622988458656
"1700063D05Rik",-0.000218327247344918
"1700063O14Rik",-0.000218327247344918
"1700064M15Rik",-0.000218327247344918
"1700065J18Rik",-0.000218327247344918
"1700066B19Rik",-0.000218327247344918
"1700066M21Rik",-0.000218327247344918
"1700066O22Rik",NA
"1700067K01Rik",-0.000218327247344918
"1700067P10Rik",NA
"1700071K01Rik",-0.000218327247344918
"1700071M16Rik",-0.423496119979539
"1700073E17Rik",-0.000218327247344918
"1700084C01Rik",-0.0273496043489527
"1700084E18Rik",-0.000218327247344918
"1700084J12Rik",NA
"1700086L19Rik",-0.128064085562125
"1700086O06Rik",-0.000218327247344918
"1700088E04Rik",-0.0510770784141724
"1700091H14Rik",-0.000218327247344918
