"gene","logP"
"2610044O15Rik8",-0.305543960660324
"2610301B20Rik",-0.218880741466459
"2610318N02Rik",-0.156339801998411
"2610507B11Rik",-0.859434054974325
"2610524H06Rik",-3.15002626330726
"2610528A11Rik",-0.0867035715277616
"2700049A03Rik",-1.5622697037371
"2700060E02Rik",-1.00278510892849
"2700062C07Rik",-2.27729932586676
"2700081O15Rik",-0.869412017995767
"2700094K13Rik",-0.979731209205674
"2700097O09Rik",-9.6353605913126e-05
"2810004N23Rik",-0.170711843664744
"2810006K23Rik",-1.23700658597387
"2810021J22Rik",-0.846555903572796
"2810403A07Rik",-0.162905022264973
"2810417H13Rik",-0.650711654661559
"2810428I15Rik",-2.22043894612677
"2810459M11Rik",-1.14406906650771
"2810474O19Rik",-0.471573932495344
"2900011O08Rik",-2.30876797430304
"2900026A02Rik",-2.55710163652656
"2900055J20Rik",-0.839166527152675
"3010026O09Rik",-2.98643567153457
"3100002H09Rik",-0.360876323833884
"3110001I22Rik",-0.672290448017054
"3110002H16Rik",-0.0321355664319093
"3110009E18Rik",-1.51166919875116
"3110018I06Rik",-0.411719265054657
"3110021N24Rik",-1.10241102783093
"3110035E14Rik",-0.128339367384876
"3110040N11Rik",-0.484964285981192
"3110043O21Rik",-0.691170324536405
"3110062M04Rik",-0.811760678199018
"3110070M22Rik",-0.0238570665027366
"3110082I17Rik",-1.42389905489625
"3110082J24Rik",-1.11622363520934
"3300002I08Rik",-0.351966450752446
"3425401B19Rik",-0.527771223023093
"3632451O06Rik",-2.21319820874699
"3830406C13Rik",-0.113324774775772
"3830408C21Rik",-0.0270121270554449
"4430402I18Rik",-0.147622653853453
"4833420G17Rik",-0.472595880837619
"4833439L19Rik",-0.952896376427487
"4921504E06Rik",-0.011764228512896
"4921507P07Rik",-0.73140290215245
"4921509C19Rik",-0.34865008345667
"4921511H03Rik",-0.0108884323782908
"4921513D11Rik",-0.331113605678609
"4921513I03Rik",-1.15306607427788
"4921524J17Rik",-0.873962535041855
"4921528I07Rik",-0.347779578656355
"4921536K21Rik",-0.242826583478696
"4930402H24Rik",-0.272954203208353
"4930404N11Rik",-1.26894139203475
"4930408O17Rik",-0.34865008345667
"4930426L09Rik",-1.02606516197429
"4930427A07Rik",-0.677807593622429
"4930430A15Rik",-0.202596612351162
"4930430F08Rik",-2.45217905271002
"4930432K21Rik",-0.429073669474425
"4930442H23Rik",-0.174759402226103
"4930444P10Rik",-1.4460663690449
"4930447C04Rik",-2.12612911206752
"4930451G09Rik",-0.877113712554328
"4930452B06Rik",-0.641418171296642
"4930453N24Rik",-0.456080575375251
"4930455H04Rik",-1.73633161998805
"4930467E23Rik",-0.160076628073371
"4930474N05Rik",-0.724680230111373
"4930486L24Rik",-0.086704049164953
"4930502E18Rik",-1.02052131546883
"4930503L19Rik",-0.147846853957781
"4930505A04Rik",-0.360029160289914
"4930507D05Rik",-1.27092610855929
"4930512M02Rik",-0.163650672568305
"4930518I15Rik",-0.0402870836290941
"4930519G04Rik",-1.14070267600196
"4930522L14Rik",-0.727412595017879
"4930523C07Rik",-0.274733538742858
"4930524B15Rik",-0.641470762508825
"4930524J08Rik",-0.526704695515981
"4930535I16Rik",-1.31645244883232
"4930538K18Rik",-0.0226218753358983
"4930539E08Rik",-0.667085594554782
"4930550C14Rik",-0.34865008345667
"4930562C15Rik",-1.16563662996305
"4930563I02Rik",-0.165209909303384
"4930563M21Rik",-0.589894141538108
"4930578C19Rik",-0.311836654836811
"4930578G10Rik",-1.59748348545536
"4930579G24Rik",-0.664211465460937
"4930590J08Rik",-1.2769802618216
"4930595D18Rik",-0.34865008345667
"4931406B18Rik",-1.37544372412434
"4931406C07Rik",-0.588301763597795
"4931406P16Rik",-1.16196544860781
"4931414P19Rik",-0.347820531419518
"4931422A03Rik",-1.62819690544756
"4931423N10Rik",-0.547755842226311
"4931428F04Rik",-1.45266592373956
"4931428L18Rik",-0.274858382479292
"4931429L15Rik",-0.0812096750234687
"4931440F15Rik",-0.121785408355248
"4932411E22Rik",-0.0867040491649531
"4932411N23Rik",-1.04014941214295
"4932414N04Rik",-1.68838459549406
"4932438A13Rik",-1.87944938264518
"4932438H23Rik",-0.439963032961657
"4933402D24Rik",-0.494053508713174
"4933402E13Rik",-0.849545955503916
