"ID","Genotype","TrainSession","APA2","TrainSessionCombo","TrainSessionComboNum","variable","value"
"16-117B","WT","T2","yoked-consistent","T2",3,"pTimeCW",0.3299
"16-117B","WT","T3","yoked-consistent","T3",4,"pTimeCW",0.235
"16-117B","WT","Retest","yoked-consistent","Retest",5,"pTimeCW",0.2544
"16-117B","WT","T4","yoked-consistent","T4_C1",6,"pTimeCW",0.2425
"16-117B","WT","T5","yoked-consistent","T5_C2",7,"pTimeCW",0.2605
"16-117B","WT","T6","yoked-consistent","T6_C3",8,"pTimeCW",0.2633
"16-117B","WT","Retention","yoked-consistent","Retention",9,"pTimeCW",0.1473
"16-119B","WT","Hab","yoked-consistent","Hab",1,"pTimeCW",0.3073
"16-119B","WT","T1","yoked-consistent","T1",2,"pTimeCW",0.2973
"16-119B","WT","T2","yoked-consistent","T2",3,"pTimeCW",0.2583
"16-119B","WT","T3","yoked-consistent","T3",4,"pTimeCW",0.1725
"16-119B","WT","Retest","yoked-consistent","Retest",5,"pTimeCW",0.3171
"16-119B","WT","T4","yoked-consistent","T4_C1",6,"pTimeCW",0.2312
"16-119B","WT","T5","yoked-consistent","T5_C2",7,"pTimeCW",0.3023
"16-119B","WT","T6","yoked-consistent","T6_C3",8,"pTimeCW",0.2861
"16-119B","WT","Retention","yoked-consistent","Retention",9,"pTimeCW",0.2518
"16-121A","WT","Hab","yoked-consistent","Hab",1,"pTimeCW",0.2882
"16-121A","WT","T1","yoked-consistent","T1",2,"pTimeCW",0.0908
"16-121A","WT","T2","yoked-consistent","T2",3,"pTimeCW",0.0277
"16-121A","WT","T3","yoked-consistent","T3",4,"pTimeCW",0.3221
"16-121A","WT","Retest","yoked-consistent","Retest",5,"pTimeCW",0.3372
"16-121A","WT","T4","yoked-consistent","T4_C1",6,"pTimeCW",0.2249
"16-121A","WT","T5","yoked-consistent","T5_C2",7,"pTimeCW",0.262
"16-121A","WT","T6","yoked-consistent","T6_C3",8,"pTimeCW",0.2438
"16-121A","WT","Retention","yoked-consistent","Retention",9,"pTimeCW",0.2174
"16-116C","WT","Hab","conflict","Hab",1,"pTimeCW",0.278
"16-116C","WT","T1","conflict","T1",2,"pTimeCW",0.0504
"16-116C","WT","T2","conflict","T2",3,"pTimeCW",0.0667
"16-116C","WT","T3","conflict","T3",4,"pTimeCW",0.103
"16-116C","WT","Retest","conflict","Retest",5,"pTimeCW",0.0134
"16-116C","WT","C1","conflict","T4_C1",6,"pTimeCW",0.4674
"16-116C","WT","C2","conflict","T5_C2",7,"pTimeCW",0.5627
"16-116C","WT","C3","conflict","T6_C3",8,"pTimeCW",0.4189
"16-116C","WT","Retention","conflict","Retention",9,"pTimeCW",0.4663
"16-117C","WT","Hab","conflict","Hab",1,"pTimeCW",0.2233
"16-117C","WT","T1","conflict","T1",2,"pTimeCW",0.1132
"16-117C","WT","T2","conflict","T2",3,"pTimeCW",0.1952
"16-117C","WT","T3","conflict","T3",4,"pTimeCW",0.0517
"16-117C","WT","Retest","conflict","Retest",5,"pTimeCW",0.1439
"16-117C","WT","C1","conflict","T4_C1",6,"pTimeCW",0.3049
"16-117C","WT","C2","conflict","T5_C2",7,"pTimeCW",0.3119
"16-117C","WT","C3","conflict","T6_C3",8,"pTimeCW",0.2002
"16-117C","WT","Retention","conflict","Retention",9,"pTimeCW",0.3099
"16-117D","WT","Hab","conflict","Hab",1,"pTimeCW",0.2322
"16-117D","WT","T1","conflict","T1",2,"pTimeCW",0.1137
"16-117D","WT","T2","conflict","T2",3,"pTimeCW",0.0876
"16-117D","WT","T3","conflict","T3",4,"pTimeCW",0.0153
"16-117D","WT","Retest","conflict","Retest",5,"pTimeCW",0.1237
"16-117D","WT","C1","conflict","T4_C1",6,"pTimeCW",0.2325
"16-117D","WT","C2","conflict","T5_C2",7,"pTimeCW",0.1386
"16-117D","WT","C3","conflict","T6_C3",8,"pTimeCW",0.0786
"16-117D","WT","Retention","conflict","Retention",9,"pTimeCW",0.2419
"16-118C","WT","Hab","conflict","Hab",1,"pTimeCW",0.2259
"16-118C","WT","T1","conflict","T1",2,"pTimeCW",0.3194
"16-118C","WT","T2","conflict","T2",3,"pTimeCW",0.2384
"16-118C","WT","T3","conflict","T3",4,"pTimeCW",0.0594
"16-118C","WT","Retest","conflict","Retest",5,"pTimeCW",0.056
"16-118C","WT","C1","conflict","T4_C1",6,"pTimeCW",0.4112
"16-118C","WT","C2","conflict","T5_C2",7,"pTimeCW",0.1873
"16-118C","WT","C3","conflict","T6_C3",8,"pTimeCW",0.1713
"16-118C","WT","Retention","conflict","Retention",9,"pTimeCW",0.3279
"16-119C","WT","Hab","conflict","Hab",1,"pTimeCW",0.3045
"16-119C","WT","T1","conflict","T1",2,"pTimeCW",0.0542
"16-119C","WT","T2","conflict","T2",3,"pTimeCW",0.1314
"16-119C","WT","T3","conflict","T3",4,"pTimeCW",0.0674
"16-119C","WT","Retest","conflict","Retest",5,"pTimeCW",0.1346
"16-119C","WT","C1","conflict","T4_C1",6,"pTimeCW",0.3781
"16-119C","WT","C2","conflict","T5_C2",7,"pTimeCW",0.0262
"16-119C","WT","C3","conflict","T6_C3",8,"pTimeCW",0.3369
"16-119C","WT","Retention","conflict","Retention",9,"pTimeCW",0.4575
"16-119D","WT","Hab","conflict","Hab",1,"pTimeCW",0.2887
"16-119D","WT","T1","conflict","T1",2,"pTimeCW",0.052
"16-119D","WT","T2","conflict","T2",3,"pTimeCW",0.0079
"16-119D","WT","T3","conflict","T3",4,"pTimeCW",0.0687
"16-119D","WT","Retest","conflict","Retest",5,"pTimeCW",0.1888
"16-119D","WT","C1","conflict","T4_C1",6,"pTimeCW",0.1694
"16-119D","WT","C2","conflict","T5_C2",7,"pTimeCW",0.0421
"16-119D","WT","C3","conflict","T6_C3",8,"pTimeCW",0.0801
"16-119D","WT","Retention","conflict","Retention",9,"pTimeCW",0.5388
"16-120C","WT","Hab","conflict","Hab",1,"pTimeCW",0.3367
"16-120C","WT","T1","conflict","T1",2,"pTimeCW",0.18
"16-120C","WT","T2","conflict","T2",3,"pTimeCW",0.1024
"16-120C","WT","T3","conflict","T3",4,"pTimeCW",0.1149
"16-120C","WT","Retest","conflict","Retest",5,"pTimeCW",0.1115
"16-120C","WT","C1","conflict","T4_C1",6,"pTimeCW",0.5707
"16-120C","WT","C2","conflict","T5_C2",7,"pTimeCW",0.4208
"16-120C","WT","C3","conflict","T6_C3",8,"pTimeCW",0.2886
"16-120C","WT","Retention","conflict","Retention",9,"pTimeCW",0.3356
"16-121C","WT","Hab","conflict","Hab",1,"pTimeCW",0.2847
"16-121C","WT","T1","conflict","T1",2,"pTimeCW",0.0741
"16-121C","WT","T2","conflict","T2",3,"pTimeCW",0.0117
"16-121C","WT","T3","conflict","T3",4,"pTimeCW",0.0473
"16-121C","WT","Retest","conflict","Retest",5,"pTimeCW",0.132
"16-121C","WT","C1","conflict","T4_C1",6,"pTimeCW",0.1443
"16-121C","WT","C2","conflict","T5_C2",7,"pTimeCW",0.2297
"16-121C","WT","C3","conflict","T6_C3",8,"pTimeCW",0.4187
"16-121C","WT","Retention","conflict","Retention",9,"pTimeCW",0.1901
"16-121D","WT","Hab","conflict","Hab",1,"pTimeCW",0.2081
"16-121D","WT","T1","conflict","T1",2,"pTimeCW",0.0517
"16-121D","WT","T2","conflict","T2",3,"pTimeCW",0.0664
"16-121D","WT","T3","conflict","T3",4,"pTimeCW",3e-04
"16-121D","WT","Retest","conflict","Retest",5,"pTimeCW",0
"16-121D","WT","C1","conflict","T4_C1",6,"pTimeCW",0.5119
"16-121D","WT","C2","conflict","T5_C2",7,"pTimeCW",0.0239
"16-121D","WT","C3","conflict","T6_C3",8,"pTimeCW",0.7525
"16-121D","WT","Retention","conflict","Retention",9,"pTimeCW",0.6777
"16-116D","WT","Hab","yoked-conflict","Hab",1,"pTimeCW",0.2244
"16-116D","WT","T1","yoked-conflict","T1",2,"pTimeCW",0.1143
"16-116D","WT","T2","yoked-conflict","T2",3,"pTimeCW",0.1819
"16-116D","WT","T3","yoked-conflict","T3",4,"pTimeCW",0.2316
"16-116D","WT","Retest","yoked-conflict","Retest",5,"pTimeCW",0.2682
"16-116D","WT","C1","yoked-conflict","T4_C1",6,"pTimeCW",0.284
"16-116D","WT","C2","yoked-conflict","T5_C2",7,"pTimeCW",0.4105
"16-116D","WT","C3","yoked-conflict","T6_C3",8,"pTimeCW",0.308
"16-116D","WT","Retention","yoked-conflict","Retention",9,"pTimeCW",0.3287
"16-118D","WT","Hab","yoked-conflict","Hab",1,"pTimeCW",0.2951
"16-118D","WT","T1","yoked-conflict","T1",2,"pTimeCW",0.2472
"16-118D","WT","T2","yoked-conflict","T2",3,"pTimeCW",0.2764
"16-118D","WT","T3","yoked-conflict","T3",4,"pTimeCW",0.3079
"16-118D","WT","Retest","yoked-conflict","Retest",5,"pTimeCW",0.4959
"16-118D","WT","C1","yoked-conflict","T4_C1",6,"pTimeCW",0.1838
"16-118D","WT","C3","yoked-conflict","T6_C3",8,"pTimeCW",0.2578
"16-118D","WT","Retention","yoked-conflict","Retention",9,"pTimeCW",0.2563
"16-120D","WT","Hab","yoked-conflict","Hab",1,"pTimeCW",0.2841
"16-120D","WT","T1","yoked-conflict","T1",2,"pTimeCW",0.108
"16-120D","WT","T2","yoked-conflict","T2",3,"pTimeCW",0.1752
"16-120D","WT","T3","yoked-conflict","T3",4,"pTimeCW",0.2065
"16-120D","WT","Retest","yoked-conflict","Retest",5,"pTimeCW",0.3337
"16-120D","WT","C1","yoked-conflict","T4_C1",6,"pTimeCW",0.3052
"16-120D","WT","C2","yoked-conflict","T5_C2",7,"pTimeCW",0.2684
"16-120D","WT","C3","yoked-conflict","T6_C3",8,"pTimeCW",0.1862
"16-120D","WT","Retention","yoked-conflict","Retention",9,"pTimeCW",0.2281
