"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","group","Genotype","name"
"16-116B",-1.10037865652139,1.11187580872599,2.31354747743144,-4.07701792934514,-0.782528943002117,1.58216534982124,-2.10774670889255,0.616154605284774,-1.14259888515946,"FMR1","FMR1","16-116B"
"16-117D",-2.59852792450461,1.45691002282469,1.7397168136134,-0.097900276551034,0.66623366504132,3.74400796069925,0.941463370769478,-1.91136623450551,1.88229271264031,"FMR1","FMR1","16-117D"
"16-118B",3.74981112752859,2.61498918117298,2.79423265214058,2.39090328988789,-0.767620785620953,-0.599202620230769,-0.48777121796198,-0.13862485630742,-0.468016397766925,"FMR1","FMR1","16-118B"
"16-118D",4.02314684949659,0.663093158544041,-0.970461728373649,1.73895623228251,1.35810376657073,-0.465386312168006,-1.86374248148819,-2.48275261679131,-1.87279599800172,"FMR1","FMR1","16-118D"
"16-119B",5.41973625867477,-1.09886280952158,-4.12527690445428,2.23339796564065,-1.37208250811443,-0.234887989303722,0.0149860117869385,-1.64115602027536,0.916394974937174,"FMR1","FMR1","16-119B"
"16-119D",2.81296198860285,2.35390632036024,2.70093783604869,-0.377816124303712,-0.711292293590365,0.743968973538555,0.462186953116523,0.269284068863444,-1.33556640434306,"FMR1","FMR1","16-119D"
"16-120B",1.91758865493406,3.08942883327344,2.75752968930757,1.20509676238188,-1.0565751709359,-1.28983715419579,0.325810493177192,1.02116689959952,1.79695137726453,"FMR1","FMR1","16-120B"
"16-120D",0.583808239706158,0.429897525204374,0.44780626835228,-2.72359326760118,-3.18485160089247,-1.70918466724764,1.59987260950431,-1.00937403714778,-0.315705510554632,"FMR1","FMR1","16-120D"
"16-122B",3.85106074696064,-2.29516717524019,-3.19483793424853,0.145480944766644,-0.075023686373392,0.764924168024684,2.06488911348472,0.565807644547373,-1.24587509015362,"WT","WT","16-122B"
"16-122D",5.20131930003258,-1.80655832259391,-2.68050053556342,-0.631422029254352,0.603462752377574,-0.190344822829804,-1.58246038576925,1.27993420071593,0.531229854990348,"WT","WT","16-122D"
"16-123B",-11.9746725759858,-11.2126455305889,3.2086674131323,1.1205473102511,-0.14002633875433,-0.509345072519854,-0.11888233707684,-0.247596070030069,-0.12649980358967,"WT","WT","16-123B"
"16-123D",2.32368358529731,0.779665625273474,2.02929542356668,3.55797930551555,0.31809584172033,0.399377253035847,-0.581315217819894,2.04075120727463,0.241059387680972,"WT","WT","16-123D"
"16-124D",0.255309006651757,0.905061101154517,1.00944716568462,-3.01096877112507,2.599371934522,-2.39507523926795,-0.50030815747093,-0.899550530245564,1.56481978131858,"WT","WT","16-124D"
"16-125B",-20.5387675644836,5.75036374370194,-4.26106176225528,0.74622152345475,-0.124574679596768,-0.319433421454196,-0.252157709280859,0.500905963454372,-0.278982186473,"WT","WT","16-125B"
"16-125D",1.57393550942179,0.661752913261817,0.39544986664078,-0.510742160124286,3.03911175685213,-0.395133799553376,2.63642681473192,0.752422183005793,-1.00572677289514,"WT","WT","16-125D"
"16-126B",4.49998545418833,-3.40371039555291,-4.16449174102317,-1.70912277587621,-0.369803710203346,0.87338739365153,-0.551251150810568,1.28399359255718,0.859018960105318,"WT","WT","16-126B"
